,Unnamed: 0,price,superficie_habitable,superficie_terrain,codeP,gouvernorat,delegation,localite,adresse,anneeConst,nbpiece,typeImm,fonds,plein_air,salle_de_bain,constructible,service,chauffage,climatisation,cuisine,installations_sportives,description
17803,17803,200000.0,150.0,150.0,,MEDENINE,,,"Djerba  Midoun, Médenine",,4,terrain,,,,,,,,,,
17923,17923,1260000.0,150.0,150.0,,MEDENINE,,,"ht souk djerba, DjerbaHoumt Souk, Médenine",,0,terrain,,,,,,,,,,
17957,17957,262500.0,150.0,150.0,,MEDENINE,,,"ht souk djerba, DjerbaHoumt Souk, Médenine",,0,terrain,,,,,,,,,,
18188,18188,204000.0,150.0,150.0,,MEDENINE,,,"CARTIER FATOU 23739658, DjerbaHoumt Souk, Médenine",,7,terrain,,,,,,,,,,
18242,18242,250000.0,150.0,150.0,,MEDENINE,,,"Djerba  Midoun, Médenine",,0,terrain,,,,,,,,,,
18247,18247,300000.0,150.0,150.0,,MEDENINE,,,"Djerba  Midoun, Médenine",,0,terrain,,,,,,,,,,
18251,18251,570000.0,150.0,150.0,,MEDENINE,,,"Djerba  Midoun, Médenine",,0,terrain,,,,,,,,,,
18254,18254,1264000.0,150.0,150.0,,MEDENINE,,,"Djerba  Midoun, Médenine",,0,terrain,,,,,,,,,,
18257,18257,220000.0,150.0,150.0,,MEDENINE,,,"Djerba  Midoun, Médenine",,0,terrain,,,,,,,,,,
18261,18261,400000.0,150.0,150.0,,MEDENINE,,,"Djerba  Midoun, Médenine",,2,terrain,,,,,,,,,,
18262,18262,952200.0,150.0,150.0,,MEDENINE,,,"Djerba  Midoun, Médenine",,2,terrain,,,,,,,,,,
18263,18263,300000.0,150.0,150.0,,MEDENINE,,,"Djerba  Midoun, Médenine",,2,terrain,,,,,,,,,,
18265,18265,330000.0,150.0,150.0,,MEDENINE,,,"Djerba  Midoun, Médenine",,2,terrain,,,,,,,,,,
18267,18267,450000.0,150.0,150.0,,MEDENINE,,,"Djerba  Midoun, Médenine",,2,terrain,,,,,,,,,,
18346,18346,370000.0,150.0,150.0,,MEDENINE,,,"Djerba  Midoun, Médenine",,0,terrain,,,,,,,,,,
18729,18729,540600.0,150.0,150.0,,MEDENINE,,,"Djerba  Midoun, Médenine",,0,terrain,,,,,,,,,,
19094,19094,214440.0,150.0,150.0,,MEDENINE,,,"ht souk djerba, DjerbaHoumt Souk, Médenine",,0,terrain,,,,,,,,,,
20525,20525,975000.0,150.0,150.0,,MEDENINE,,,"4162 midoun, Djerba  Midoun, Médenine",,4,terrain,,,,,,,,,,
20753,20753,400000.0,150.0,150.0,,MEDENINE,,,"Djerba, Djerba  Midoun, Médenine",,0,terrain,,,,,,,,,,
22102,22102,1000000.0,150.0,150.0,,MEDENINE,,,"El Gayed, Djerba  Midoun, Médenine",,4,terrain,,,,,,,,,,
22668,22668,350000.0,150.0,150.0,,MEDENINE,,,"Ghizen, DjerbaHoumt Souk, Médenine",,0,terrain,,,,,,,,,,
22879,22879,390000.0,150.0,150.0,,MEDENINE,,,"Djerba  Midoun, Médenine",,8,terrain,,,,,,,,,,
24554,24554,416000.0,150.0,150.0,,MEDENINE,,,"TEZDAINE, Proche Piste chateau d'eau, face la lagu, Djerba  Midoun, Médenine",,0,terrain,,,,,,,,,,
24556,24556,507936.0,150.0,150.0,,MEDENINE,,,"Tezdaine Prés du super marché, Djerba  Midoun, Médenine",,4,terrain,,,,,,,,,,
24562,24562,228800.0,150.0,150.0,,MEDENINE,,,"TEZDAINE, Proche Piste chateau d'eau,, Djerba  Midoun, Médenine",,0,terrain,,,,,,,,,,
25094,25094,1300000.0,150.0,150.0,,MEDENINE,,,"DjerbaHoumt Souk, Médenine",,1,terrain,,,,,,,,,,
25183,25183,371135.0,150.0,150.0,,MEDENINE,,,"Zone Tourestique Derrière Hotel Manara, Djerba  Midoun, Médenine",,0,terrain,,,,,,,,,,
25227,25227,685280.0,150.0,150.0,,MEDENINE,,,"Rte de Mezraya à gauche, Djerba  Midoun, Médenine",,0,terrain,,,,,,,,,,
26027,26027,401600.0,150.0,150.0,,MEDENINE,,,"DjerbaHoumt Souk, Médenine",,4,terrain,,,,,,,,,,
26046,26046,220000.0,150.0,150.0,,MEDENINE,,,"Djerba  Ajim, Médenine",,2,terrain,,,,,,,,,,
26218,26218,750000.0,150.0,150.0,,MEDENINE,,,"DjerbaHoumt Souk, Médenine",,0,terrain,,,,,,,,,,
26854,26854,268000.0,150.0,150.0,,MEDENINE,,,"DjerbaHoumt Souk, Médenine",,0,terrain,,,,,,,,,,
27420,27420,200000.0,150.0,150.0,,MEDENINE,,,"Rue 20 mars près de la mosquée sidi essougui, DjerbaHoumt Souk, Médenine",,0,terrain,,,,,,,,,,
27609,27609,780000.0,150.0,150.0,,MEDENINE,,,"Erriadh Benidis, DjerbaHoumt Souk, Médenine",,4,terrain,,,,,,,,,,
28461,28461,550000.0,150.0,150.0,,MEDENINE,,,"Djerba  Midoun, Médenine",,4,terrain,,,,,,,,,,
28462,28462,980000.0,150.0,150.0,,MEDENINE,,,"Boulevard de l'environnement midoun, Djerba  Midoun, Médenine",,4,terrain,,,,,,,,,,
28748,28748,1200000.0,150.0,150.0,,MEDENINE,,,"Zone touristique Djerba, Djerba  Midoun, Médenine",,0,terrain,,,,,,,,,,
29492,29492,1234570000.0,150.0,150.0,,MEDENINE,,,"مليتة طريق المطار طريق سيدي جمور, DjerbaHoumt Souk, Médenine",,8,terrain,,,,,,,,,,
29879,29879,300000.0,150.0,150.0,,MEDENINE,,,"midoun route el meleji à 800m du centre de midoun, Djerba  Midoun, Médenine",,0,terrain,,,,,,,,,,
30001,30001,210000.0,150.0,150.0,,MEDENINE,,,"Djerba  Midoun, Médenine",,0,terrain,,,,,,,,,,
30214,30214,180000000.0,150.0,150.0,,MEDENINE,,,"DjerbaHoumt Souk, Médenine",,0,terrain,,,,,,,,,,
31328,31328,210000.0,150.0,150.0,,MEDENINE,,,"Djerba  Midoun, Médenine",,4,terrain,,,,,,,,,,
31406,31406,200000.0,150.0,150.0,,MEDENINE,,,"MIDOUN, Djerba  Midoun, Médenine",,0,terrain,,,,,,,,,,
31563,31563,550000.0,14500.0,14500.0,,MEDENINE,,,,,0,terrain,,,,Constructible,,,,,,"il s’agit d’un terrain vierge en bord de mer sur façade ouest de l’île de Djerba avec route directe 10 min pour aéroport international de Djerba et à 4 km de la ville de Adjim et du bac pour rejoindre le continent. Secteur avec quelques maisons sur grands terrains et plage en bas du terrain. Le terrain comprend palmiers, oliviers, figuiers, pieds de vigne, et autres plantes et arbres plantés depuis une dizaine d’années. Le terrain comprend aussi un puit à plus de 10 m d’eau salée le terrain dispose d’un raccord à l’électricité mais pas encore à l’eau potable, en cours d’installation sur la zone Le contrat de vente du terrain comprend un total de 14 500 m2 mais comprend le DPM (Domaine public maritime) hors DPM le terrain a une superficie d’environ 12 500 m2 la partie haute du terrain, après les 100 m de réserve du DPM, se situe à une hauteur de 7 m, le seul dans ce cas dans le secteur, et offre une superficie constructible au sol de plus de 700 m2. Vue exceptionnelle sur la mer et les mythiques couchers de soleil de Djerba."
31975,31975,360000.0,479.0,479.0,,MEDENINE,,,,,0,terrain,un garage,,3,,,,,,,"Villa avec piscine moderne de style traditionnel Située à Tezdaine , dans un quartier calme et Résidentiel A 100 m du Bord de la Route et à proximité de la Zone Touristique de Phare, Villa Neuve de qualité d’une superficie de 180 m2 couverts , implantée sur un Terrain d’environ 479m2 ,se composant   Au RDC   d’un hall d’entrée desservant un séjoursalon , une grande cuisine donnant sur la piscine ,une suite ( placard , douche a l’italienne ,wc et une chambre ) et salle d’eau . A l’Etage   dégagement donnant accès sur Terrasses avec belle Vue panoramique, Suite parentale style Djerbien plafond voûté ( dressing , douche baignoire , wc , une chambre avec coin salon ) et une chambre plafond coupole. *Piscine 10 / 4 *garage *Volets roulants électriques *Titre Bleu Contact"
31976,31976,300000.0,405.0,405.0,4116.0,MEDENINE,,,,,0,terrain,un garage,,2,,,,,,,"Charmante villa avec piscine située a Midoun, proche de la route du phare dans un endroit très calme. C’est une villa entièrement équipée et meublée. Toutes les pièces principales sont climatisées Elle est composée de   RDC  Salon avec un coin berbère sous l’escalier, cuisine à l’américaine, une chambre et salle de bain A l’étage   un séjour, deux chambres et une salle de bain ainsi qu’une terrasse donnant sur la piscine À l’extérieur  *piscine 8/4 m² *Douche et toilette *Grand garage (porte automatique) *Coin barbecue avec pergola style paillote et transats. *Un jardin gazonné avec terrasse Surface terrain  405 m² Titre bleu Zone urbaine Prix  300 mille dt Contact"
31992,31992,550000.0,3164.0,3164.0,,MEDENINE,,,,,0,terrain,,,,Constructible,,,,,,A vendre terrain de 3164 m2 à Djerba Mezraya avec bon emplacement  près de la la route touristique et derrière l’hotel palm Djerba convient aussi pour projet touristique ou pour lotissements.connu sous le nom de « ظهرة الصلاة ». tel 95573415 walid prix 550 M.D Position du terrain et traçage approximatif en cliquant ce lien https //cutt.ly/KwIf4Dr
32381,32381,340000.0,800.0,800.0,,MEDENINE,,,tezdaine djerba/ Ville   Médnine,2015,0,terrain,0,,2,,,,,,,"Un ensemble composé de deux villas(chaque villa 100 m² ) sur un terrain de 1000m², situés en Tezdayine 1 km de midoun et 3 km de l’une des plus belles plages de Djerba yati, proche de toutes les commodités. Composition   Une villa composée de   –Un salon –Deux chambres –Une salle d’eau, –Une cuisine _ hall prix  les deux 340 000 une seule  175 000 prix à negocier"
32821,32821,280000.0,150.0,150.0,4173.0,MEDENINE,,,centre ville zarzis  Medenine/ Ville   Médnine/ Région   centre ville zarzis Medenine,,0,terrain,,,,,,,,,,Centre comerciale à zarzis Surface couverte  520m2 Terrain  620m2 Prix  280000dt
2576,2576,1300000.0,150.0,150.0,,MEDENINE,Djerba  Houmet Essouk,Mezraya,,,0,commerce,,,,,,,,,,"résidence à mezreya  une résidence titrée, étalée sur 2800 mètres carrés, proche de l’hôtel radisson et à 200 mètres de la route principale de la zone touristique.  elle contient   8 logements dont 5 sont s+2 avec 130 mètres carrés de surface couverte et 3 s+1 avec 80 mètres carrés de surface couverte  dressing  bureau  parking couvert  paillot  piscine démontable  prix  1.300.000 dt"
3629,3629,330000.0,150.0,150.0,,MEDENINE,Djerba  Midoun,Midoun,centre ville djerba midoun,,0,commerce,,,,,,,,,,"une merveilleuse villa rez d'chaussée et étage en haut standing a l’île de djerba en plein centre ville midoun elle contient    * la rez d'chaussée   un grand salon / une cuisine et une douche .  * l'étage   02 chambres d'enfant avec une douche et une suite parentale avec salle de bain .  l'emplacement est parfait en plein centreville djerba midoun juste face de la gare de bus et le lycée et le centre commercial carrefour , construite la rez chaussée et même l'étage avec des roches et en belle finition et en excellent voisinage dans une superficie couverte 220 m2 construite sur un terrain superficie 350 m2 , et pour plus d'information , veuillez nous contacter merci cordialement  * note bien   vous pouvez nous contacter aussi par vibre au par whatsapp au même numéro qui est afficher merci  tel   ( +216 )98101049"
8813,8813,420000.0,120.0,120.0,4179.0,MEDENINE,HOUMET ESSOUK,SIDI MEHREZ,Sidi Mahrsi,,4,commerce,Oui,,,,,,,,,"A vendre, un charmant appartement S+2, de haut standing, situé au 1 er étage dans une résidence située dans la prestigieuse zone de Sidi Mahersi, entre Nabeul et Hammamet connue par ses plages paradisiaques, 200 m du centre ville de Nabeul, de ses commerces et animations qui correspondent idéalement à vos désirs. Il est composé d’un salon lumineux qui donne sur une terrasse, une cuisine équipée et agencée avec un séchoir, deux chambres à couchers avec placards et une salle d’eau avec cabine de douche. Il est également équipé de climatisation, chauffage central et d’une place parking. Superficie totale   120 m² Superficie couverte   100 m²  Prix   420 000 DT = 140 000 EUR Pour tout renseignement vous pouvez contacter AGENCE IMMOBILIÈRE BEN SALEM sur   Commercial  Tel  + 216 28 824 826 / + 216 72 278 062 /Télé/Fax  + 216 72 261 510"
29857,29857,330000.0,136.0,136.0,,MEDENINE,,,"Midoun centre, Djerba  Midoun, Médenine",,0,commerce,,,2,,,,,,,
32830,32830,330000.0,150.0,150.0,4116.0,MEDENINE,,,sedghiane  Medenine/ Ville   Médnine/ Région   sedghiane Medenine,,0,commerce,,,,,,,,,,vend local commercial sur route principale entre houmt souk et midoun terrain 870m2 240m2 CONSTRUIT compose en rdc de 2 grand local commercial et au 1etage deux appartements ou bureau un appartement compose de 2 chambre et 1double sejour avec cuisine et salle de bain avec wc et un appartement compose de 1 chambre et 1 salon avec cuisine et salle de bain PRIX 160 000 EUROS Tel 25428753
167,167,580000.0,150.0,150.0,5060.0,MONASTIR,MONASTIR,ZONE SKANES,skanes monastir,,0,maison,,,,,,,,,,"à skanes ,dans une cité calme , à vendre une maison composée d'un rez de chaussée plus étage .salon ,salle à manger  ,cuisine , 5 chambres  , salle d'eau et salle de bain.climatisée .garage et jardin d'environ 100 m2.titre foncier."
3357,3357,500000.0,150.0,150.0,,MONASTIR,Bekalta,Bekalta,rue ennakhil parallèle rue ibn khaldoun,,0,maison,,,,,,,,,,"magnifique villa moderne sise en plein centre ville de bekalta dans un quartier résidentiel sécurisé et calme faisant le coin. composée de  1 salon ,1 séjour, 4 chambres avec dressings, une grande cuisine moderne équipée + 1 cuisine externe style arabesque,1 salle de bain, 02 douches avec wc, 4 terrasses, un jardin qui entoure la villa. elle est équipée de climatisation et de chauffage centrale, parabole..."
9866,9866,950000.0,150.0,150.0,,MONASTIR,,,"Sousse zone touristique boulevard du 14 janvier, Monastir, Monastir",,0,maison,,,,,,,,,,
10278,10278,2000000.0,400.0,400.0,5060.0,MONASTIR,MONASTIR,ZONE SKANES,"palais présidentiel Skanes, Monastir, Monastir",,0,maison,,,,,,,,,,
10592,10592,597400.0,150.0,150.0,,MONASTIR,,,"Sousse zone touristique boulevard du 14 janvier, Sahline, Monastir",,0,maison,,,,,,,,,,
13727,13727,420000.0,600.0,600.0,,MONASTIR,,,"Ksar Hellal, Monastir",,9,maison,,,1,,,,,,,
13776,13776,800000.0,300.0,300.0,,MONASTIR,,,"rue victor hugo immeuble mahjoub, Monastir, Monastir",,4,maison,,,,,,,,,,
15188,15188,830000.0,150.0,150.0,5060.0,MONASTIR,MONASTIR,ZONE SKANES,"skanes monastir, Monastir, Monastir",,8,maison,,,3,,,,,,,
16507,16507,1185000.0,520.0,520.0,,MONASTIR,,,"Monastir, Monastir",,0,maison,,,3,,,,,,,
17911,17911,1802500.0,150.0,150.0,4089.0,MONASTIR,HAMMAM SOUSSE,EL KANTAOUI,"El Kantaoui, Monastir, Monastir",,0,maison,,,2,,,,,,,
17914,17914,1290000.0,150.0,150.0,4089.0,MONASTIR,HAMMAM SOUSSE,EL KANTAOUI,"El Kantaoui, Moknine, Monastir",,0,maison,,,2,,,,,,,
17916,17916,1200000.0,150.0,150.0,4089.0,MONASTIR,HAMMAM SOUSSE,EL KANTAOUI,"El Kantaoui, Monastir, Monastir",,0,maison,,,2,,,,,,,
17918,17918,2450000.0,150.0,150.0,4089.0,MONASTIR,HAMMAM SOUSSE,EL KANTAOUI,"El Kantaoui, Monastir, Monastir",,7,maison,,,2,,,,,,,
17920,17920,1200000.0,150.0,150.0,4089.0,MONASTIR,HAMMAM SOUSSE,EL KANTAOUI,"El Kantaoui, Monastir, Monastir",,0,maison,,,2,,,,,,,
17960,17960,772500.0,150.0,150.0,4089.0,MONASTIR,HAMMAM SOUSSE,EL KANTAOUI,"El Kantaoui, Monastir, Monastir",,6,maison,,,2,,,,,,,
19107,19107,350000000.0,150.0,150.0,,MONASTIR,,,"avenue de la republique, Monastir, Monastir",,6,maison,,,,,,,,,,
19778,19778,800000.0,274.0,274.0,,MONASTIR,,,"50637602, Monastir, Monastir",,1,maison,,,3,,,,,,,
24466,24466,380000.0,254.0,254.0,,MONASTIR,,,"Ksar Hellal, Monastir",,6,maison,,,1,,,,,,,
24825,24825,600000.0,150.0,150.0,,MONASTIR,,,"Monastir, Monastir",,4,maison,,,4,,,,,,,
26536,26536,665000.0,150.0,150.0,,MONASTIR,,,"omrane monastir, Monastir, Monastir",,6,maison,,,2,,,,,,,
26538,26538,15000000.0,364.0,364.0,,MONASTIR,,,"Terrain à zawiet quantech Jammel, Jemmal, Monastir",,4,maison,,,1,,,,,,,
27109,27109,450000.0,758.0,758.0,,MONASTIR,,,"ksibet el mediouni, Ksibet elMédiouni, Monastir",,7,maison,,,2,,,,,,,
28365,28365,350000.0,570.0,570.0,,MONASTIR,,,"cité alriadh, Téboulba, Monastir, Téboulba, Monastir",,8,maison,,,2,,,,,,,
28523,28523,600000.0,150.0,150.0,,MONASTIR,,,"en face Mausolée Bourguiba, Monastir, Monastir",,6,maison,,,2,,,,,,,
28607,28607,900000.0,470.0,470.0,,MONASTIR,,,"Monastir, Monastir",,7,maison,,,,,,,,,,
29102,29102,850000.0,150.0,150.0,,MONASTIR,,,"Zone Touristique, Monastir, Monastir",,0,maison,,,3,,,,,,,
29571,29571,800000.0,447.0,447.0,,MONASTIR,,,"zone touristique Monastir, Monastir, Monastir",,0,maison,,,3,,,,,,,
29891,29891,350000.0,150.0,150.0,,MONASTIR,,,"Monastir cite remada derrière le chemin de fer, Monastir, Monastir",,0,maison,,,5,,,,,,,
30811,30811,550000.0,500.0,500.0,,MONASTIR,,,"rue Medjerda, Ksar Hellal, Monastir",,4,maison,,,2,,,,,,,
30821,30821,1200000.0,392.0,392.0,,MONASTIR,,,"Monastir, Monastir",,4,maison,,,6+,,,,,,,
32775,32775,500000.0,150.0,150.0,1412.0,MONASTIR,,,ALLEMANYA Monastir/ Ville   Monastir/ Région   ALLEMANYA Monastir,,0,maison,,,,,,,,,,بيع 4 منازل جوملي المساحة 350م في منطقة صقانس منستير تبعد على البحر 15د مشي ووسط البلاد 20د مشي السعر 500 ملون ومقابل للتفاهم في السعر هذا هو البريد الاكتروني saidam@tonline.de ورقم الهاتف 01511278059 والا الاتصال بي ابن اختي انيس وهذا رقم تونس 98581986
32804,32804,450000.0,150.0,150.0,5000.0,MONASTIR,,,sweni falaise Monastir/ Ville   Monastir/ Région   sweni falaise Monastir,,0,maison,,,,,,,,,,"A vendre une très jolie maison style américain à sweni falaise de 300 m² bâtit sur 170 m² à 450000 d,dans un très bon emplacement et 100 m de la plage falaise. cette maison est composée de 2 étages  *un RDC contient un salon,un séjours,une salle à manger une belle cuisine était bien équipée,une salle d’eau et un beau terace. *un étage contient 3 chambres à coucher une avec salle d’eau,une salle de bain et abri pour 2 voitures avec portes automatiques enfin. NB toutes les pièces sont climatisées même la cuisine,chauffage central,gaz de ville et fenêtres en aluminium"
47,47,115000.0,150.0,150.0,,MONASTIR,Sahline,Sahline,residence el mandra,,0,appartement,,,,,,,,,,"composé de 02 chambres à coucher avec un grand placard, salon avec balcon sur la route principale, salle de bain, cuisine avec placard et sechoir au 3eme étage.disponible de suite,   titre foncier disponible sans aucune hypothèque.   visite sur rendezvous."
139,139,70000.0,150.0,150.0,,MONASTIR,Monastir,Monastir,"frina , route monastir khniss",,0,appartement,,,,,,,,,,"au frina ,dans une résidence neuve , au troisième étage avec ascenseur , à vendre un s plus un avec chauffage central .place parking devant l'immeuble."
141,141,140000.0,150.0,150.0,5060.0,MONASTIR,MONASTIR,ZONE SKANES,skanes monastir,,0,appartement,,,,,,,,,,"dans une résidence à skanes , sans ascenseur , à vendre des appartement s plus deux , au premier , deuxième et troisième étage , composé d'un salon , deux chambres, cuisine , salle e bain balcon et séchoir.chauffage central et climatiseur.place parking devant l'immeuble .supplement dix mille dinars pour place parking au soussol.cité calme .mer à 300 m.    superficie net varie de 75 à 105 m2.    prix varie de 140 à 190 mdt    titre foncier individuel."
1074,1074,350000.0,150.0,150.0,,MONASTIR,Monastir,Monastir,zone touristique dériere hotel el habib monastir,,0,appartement,,,,,,,,,,un appartement neuf lumineux et très spacieux dans une immeuble récemment construit avec ascenseur  cet appartement est composé d'un grand séjour lumineux avec une terrasse  chambre parent et deux chambres enfant  une spacieuse cuisine moderne avec séchoir  une salle de bain et salle d'eau  l'appartement est équipé de climatisation et chauffage central  pour plus de détails contacter nous sur le 73 447 735 ou 27 433 502 ou 27 433 505
1338,1338,120000.0,150.0,150.0,,MONASTIR,Monastir,Monastir,stah jabeur,,0,appartement,,,,,,,,,,avec syndic . derrière cafés dokana et surfing.5 min du centre ville.  peu habité. qq mois.  photos bientôt  en face boulangerie bahriya
2143,2143,198000.0,150.0,150.0,,MONASTIR,Monastir,Monastir,cap marina monastir,,0,appartement,,,,,,,,,,"vends un tres bel appartement au rez de chaussee convenant parfaitement à personnes agees ou autres ,à cote d'une  belle superette à cap marina monastir à l'entree d'une pleine station balnéaire  composé d'une grande chambre ,une sdb installée et une toilette avec  un grand salon avec kitchenette équipée et un grand balcon donnant sur un beau jardin presque privatif   .possibilité de construire une mezanine  pouvant abriter deux autres chambres et une salle d'eau car mur tres haut . dans ce cas ,la superficie est multipliee par deux .une visite s'impose.le dit appartement comprend un titre bleu individuel.prix 1980000dt negociable."
2600,2600,165000.0,150.0,150.0,5060.0,MONASTIR,MONASTIR,ZONE SKANES,residence bahia rue ali bourguiba skanes,,0,appartement,,,,,,,,,,"a vendre un appartement s+2 au 2eme etage (avec ascenseur) d'une résidence sure la route principale ali bourguiba skanes.    l'appartement est composé d'un salon, deux chambres a coucher, une cuisine amenagé avec meuble , plaque et four encastré, une salle de bain, un couloir et un petit séchoir.    revetement salon en grès noir d'espagne. revetement des chambres en marbre blanc. minuiserie aluminium.    chauffage central. climatiseurs dans le salon et chambre parents.    titre foncier individuel.    super emplacement dans le cartier de skanes a 800 metres de la plage.    pix 165000 dt peu négociable.    payement au comptant."
2676,2676,150000.0,150.0,150.0,,MONASTIR,Monastir,Monastir,luxueux deux pièces monastir,,0,appartement,,,,,,,,,,a vendre luxueux deux pièces immeuble karam2 a cote faculte pharmacie  et des immeubles snit monastir chauffage central .clim   cuisine équipée  balcon richement meublé.intermediaires et curieux s abstenir.
2735,2735,129000.0,150.0,150.0,,MONASTIR,Monastir,Monastir,citée frina monastir,,0,appartement,,,,,,,,,,résidence tulipe est un nouveau projet se situe à citeé frina monastir qui s’éloigne 4km du centreville et la plage de monastir .on vous propose des appartements de type (s+2) les prix à partir de 129.000dt    remise des clés immédiate .nous restons à votre disposition pour toutes questions n’hésitez pas à nous contacter sur   73 447 735 / 27 433 502 / 27 433 505
2894,2894,170000.0,150.0,150.0,,MONASTIR,Monastir,Cite Essalem,citée essalem,,0,appartement,,,,,,,,,,"a vendre ou a échanger(sousse)ou bien ( tunis );bel appartement dans une est une résidence qui se distingue par son emplacement dans un quartier résidentiel et à proximité d’établissements administratifs et éducatifs.citée calme et propre ,prés de toute commodités, 15 mn de la fac pharmacie et dentaire; 3ém étage composé d'un grand salon salle à manger ,2 chambres a coucher une salle de bain , une grande cuisine meublée grande terrasse de 40 m² marbre tala .  chauffage central avec des éléments en aluminium pour toutes les pièces avec sèche serviettes.  résidence gardée  avec toutes les installations   parabolique  téléphonique  int erphone  chauffage centrale .  *climatisation préinstaller.  volets roulants électriques  l'entrée et les escaliers en marbre  boiserie de premier choix,  bien situé  à 200 m à la plage .  possibilité de la vendre meublé!  merci d'appeler sans délais le service client en utilisant les coordonnées mentionnées cidessous. contacter/  965539402476576527054039  si vous pensez que ce message peut également être intéressant pour un ami ou un proche, n'hésitez pa"
2945,2945,400000.0,150.0,150.0,,MONASTIR,Monastir,Monastir,falaise monastir,,0,appartement,,,,,,,,,,"sur la route de la falaise, à vendre , un grand appartement haut standing, au rez de chaussée , composé d'un salon, trois chambres à coucher ,l'une est une suite parental , cuisine équipée et une salle de bain.climatiseur et chauffage central. deux grandes terrasses de 68 m2 plus cellier et place parking au soussol de 18 m2 qui s'ajoutent aux 150 m2 de l'appartement .cité calme.mer à 100 m. titre foncier ."
2995,2995,220000.0,150.0,150.0,,MONASTIR,Monastir,Monastir,a coté faculté de médecine dentaire,,0,appartement,,,,,,,,,,"devant la faculté de médecine dentaire , à vendre un appartement standing , composé d'un salon , trois chambres , cuisine , salle de bain , salle d'eau et deux terrasses.chauffage central et climatiseurs .belle vue sur l’extérieur.place parking devant la résidence.cité gardée."
3169,3169,150000.0,150.0,150.0,,MONASTIR,Monastir,Monastir,luxueux deux pièces monastir,,0,appartement,,,,,,,,,,a vendre luxueux deux pièces immeuble karam2 a cote faculte pharmacie  et des immeubles snit monastir chauffage central .clim   cuisine équipée  balcon richement meublé.intermediaires et curieux s abstenir.
3374,3374,185000.0,150.0,150.0,,MONASTIR,Monastir,Monastir,"résidence elmourabitine, immeuble nargess, mounastir.",,0,appartement,,,,,,,,,,"très bel appt, s+2, très belle orientation (vue sur mer), en face de la faculté de médecine dentaire. résidence surveillée 24/24, toutes commodités (supérette, agences de voyage, restaurants pharmacie, médecins, location de voitures, parking....), chauffage central, climatiseurs, sdb, cuisine, séchoir, ascenseur. prix légèrement négociable. ( loué aux étudiants à 700 d par mois, loué pendant les vacances d'été,  par semaines )."
3457,3457,145000.0,150.0,150.0,,MONASTIR,Monastir,Cite El Farik,stah jaber monastir,,0,appartement,,,,,,,,,,"agence carthage vous propose   à vendre appartement  au deuxième étage de résidence el corniche monastir (sans ascenseur) avec syndic en arrière de café dokkana entre facultés de mode et institut supérieur de mathématique et d'informatique monastir pas loin de faculté de médecine et de centreville offrant   salon avec balcon , cuisine avec balcon, deux chambres et salle de bain. prix de vente    145000 dinars  n'oubliez pas  frais d'agence. pour plus de renseignements, n’hésitez pas de contacter nos conseillers   agence carthage    +216 73 462 194 kamel  +216 23 693 472 +216 99 921 458  monem  +216 21 209 245 +216 97 472 832"
4038,4038,1150000.0,150.0,150.0,5060.0,MONASTIR,MONASTIR,CITE AGBA MONASTIR,el agba monastir,,0,appartement,,,,,,,,,,un particulier met en vente une belle immeuble style arabesque qui fait le coin et qui possède 8 appartement s+2 et 1 appartement s+1 (9 appartements en tout) dans un quartier trés calme el agba de trés bonne orientation qui se situe sur un grand boulevard . tout les papier sont en règles pour plus d'informations appelez   94930773
6288,6288,129000.0,84.4,84.4,,MONASTIR,,,Frina Monastir,,2,appartement,,,,,,,,,,agence elHana orpi vous offre des appartements s+2 nouvellement construits et directement au promoteur dans un immeuble bien placé et bien sécurisé avec ascenseur et dans une zone résidentielle très calme situé a frina avec des prix imbattables ces appartements contient  *Spacieux salon avec balcon *deux chambres à coucher *cuisine *salle de bain. métrage à partir du  84.42 m² prix à partir du  129 milles pour tout renseignement merci de nous contacter sur le 53690169.
6295,6295,230000.0,83.0,83.0,5060.0,MONASTIR,MONASTIR,ZONE SKANES,skaness monastir,,1,appartement,,,,,,,,,,AGENCE EL HANA ORPI met à vendre des appartements s+1 situé à skanes prés leksar très haut standing 3 minutes à la plage avec vue magnifique et emplacement stratégique et présidentiel. ces appartements y compris  *grand salon avec balcon *une chambre à coucher *cuisine *salle de bain *métrage   83 m² * un parking. *prix  230 milles. cet appartement est directement du promoteur avec un frais enregistrement 1 %. pour plus d'informations contacteznous sur 53690169.
6773,6773,260000.0,130.0,130.0,,MONASTIR,,,Monastir centre,,0,appartement,Oui,,,,,,,,,"Description une trés belle occasion à ne pas rater. a vendre dans la zone touristique monastir ville, complex monastir centre, à 200 mètres de la plage el kariya un appartement   spacieux salon et salon à manger confortable et lumineux .  2 larges chambres à coucher .  salle de bain  cuisine + attic  terrasse de 27 m2 le tout avec chauffage central. jardin commune de toute beauté. syndic."
